"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/03/2020","AQS","360050110","3","16","ug/m3 SC","15","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/09/2020","AQS","360050110","3","13","ug/m3 SC","12","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/15/2020","AQS","360050110","3","9","ug/m3 SC","8","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/21/2020","AQS","360050110","3","7","ug/m3 SC","6","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/27/2020","AQS","360050110","3","5","ug/m3 SC","5","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/03/2020","AQS","360050110","5","14","ug/m3 SC","13","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/09/2020","AQS","360050110","5","12","ug/m3 SC","11","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/15/2020","AQS","360050110","5","8","ug/m3 SC","7","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/21/2020","AQS","360050110","5","7","ug/m3 SC","6","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/27/2020","AQS","360050110","5","4","ug/m3 SC","4","IS 52","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"02/09/2020","AQS","360290005","1","17","ug/m3 SC","16","BUFFALO","1","100.0000","81102","PM10 Total 0-10um STP","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.8769066671345","-78.8095260117327"
"02/21/2020","AQS","360290005","1","12","ug/m3 SC","11","BUFFALO","1","100.0000","81102","PM10 Total 0-10um STP","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.8769066671345","-78.8095260117327"
"02/27/2020","AQS","360290005","1","4","ug/m3 SC","4","BUFFALO","1","100.0000","81102","PM10 Total 0-10um STP","15380","Buffalo-Cheektowaga-Niagara Falls, NY","36","New York","029","Erie","42.8769066671345","-78.8095260117327"
"02/03/2020","AQS","360551007","1","0","ug/m3 SC","0","ROCHESTER 2","1","100.0000","81102","PM10 Total 0-10um STP","40380","Rochester, NY","36","New York","055","Monroe","43.14618","-77.54817"
"02/09/2020","AQS","360551007","1","9","ug/m3 SC","8","ROCHESTER 2","1","100.0000","81102","PM10 Total 0-10um STP","40380","Rochester, NY","36","New York","055","Monroe","43.14618","-77.54817"
"02/15/2020","AQS","360551007","1","14","ug/m3 SC","13","ROCHESTER 2","1","100.0000","81102","PM10 Total 0-10um STP","40380","Rochester, NY","36","New York","055","Monroe","43.14618","-77.54817"
"02/21/2020","AQS","360551007","1","19","ug/m3 SC","18","ROCHESTER 2","1","100.0000","81102","PM10 Total 0-10um STP","40380","Rochester, NY","36","New York","055","Monroe","43.14618","-77.54817"
"02/27/2020","AQS","360551007","1","5","ug/m3 SC","5","ROCHESTER 2","1","100.0000","81102","PM10 Total 0-10um STP","40380","Rochester, NY","36","New York","055","Monroe","43.14618","-77.54817"
"02/03/2020","AQS","360610134","1","20","ug/m3 SC","19","DIVISION STREET","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/09/2020","AQS","360610134","1","14","ug/m3 SC","13","DIVISION STREET","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/03/2020","AQS","360810124","1","15","ug/m3 SC","14","QUEENS COLLEGE 2","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/09/2020","AQS","360810124","1","10","ug/m3 SC","9","QUEENS COLLEGE 2","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/15/2020","AQS","360810124","1","7","ug/m3 SC","6","QUEENS COLLEGE 2","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/21/2020","AQS","360810124","1","7","ug/m3 SC","6","QUEENS COLLEGE 2","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/27/2020","AQS","360810124","1","3","ug/m3 SC","3","QUEENS COLLEGE 2","1","100.0000","81102","PM10 Total 0-10um STP","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
